StockName,CustomerName,Price,NumStks,Time,OrderID
ARBK,Customer4,307,493,5,1
ARBK,Customer0,440,100,49,4
ARBK,Customer4,469,468,33,7
ARBK,Customer3,489,169,37,10
ARBK,Customer2,568,229,44,13
ARBK,Customer3,513,136,44,14
ARBK,Customer0,565,64,44,15
ARBK,Customer1,511,196,15,17
ARBK,Customer4,428,299,15,18
ARBK,Customer2,527,329,38,21
ARBK,Customer3,470,398,38,22
ARBK,Customer0,295,400,22,24
ARBK,Customer1,378,239,51,29
ARBK,Customer1,512,141,51,30
ARBK,Customer0,340,99,32,31
ARBK,Customer4,371,290,23,32
ARBK,Customer0,543,95,3,34
ARBK,Customer2,536,248,27,38
ARBK,Customer1,439,124,27,39
ARBK,Customer4,549,12,55,41
ARBK,Customer2,312,319,55,42
ARBK,Customer2,418,48,31,44
ARBK,Customer0,533,212,31,45
ARBK,Customer0,305,181,29,50
ARBK,Customer0,320,3,3,51
ARBK,Customer1,309,420,34,54
ARBK,Customer4,351,224,49,55
ARBK,Customer0,559,65,45,57
ARBK,Customer3,499,51,45,58
ARBK,Customer4,305,484,33,61
ARBK,Customer2,383,306,2,62
ARBK,Customer0,375,47,15,71
ARBK,Customer3,368,36,46,72
ARBK,Customer3,544,94,46,73
ARBK,Customer0,414,103,57,75
ARBK,Customer3,516,468,57,76
ARBK,Customer4,340,474,3,77
ARBK,Customer3,339,460,38,78
ARBK,Customer2,323,232,30,80
ARBK,Customer0,325,151,43,85
ARBK,Customer4,348,300,6,86
ARBK,Customer0,524,419,23,90
ARBK,Customer0,453,404,53,95
ARBK,Customer2,331,415,27,97
ARBK,Customer1,515,349,27,98
ARBK,Customer3,517,167,34,101
ARBK,Customer3,324,117,51,104
ARBK,Customer1,331,162,51,105
ARBK,Customer0,420,159,51,106
ARBK,Customer2,417,212,51,107
ARBK,Customer4,359,328,7,108
ARBK,Customer1,365,7,56,109
ARBK,Customer4,302,162,37,110
ARBK,Customer4,296,282,16,111
ARBK,Customer0,294,474,5,112
ARBK,Customer0,515,170,5,113
ARBK,Customer2,461,229,5,114
ARBK,Customer4,543,450,5,115
ARBK,Customer4,315,435,58,118
ARBK,Customer2,552,319,58,119
ARBK,Customer2,328,238,16,123
ARBK,Customer0,364,193,15,124
ARBK,Customer3,302,165,9,126
ARBK,Customer1,316,459,29,127
ARBK,Customer0,568,171,29,128
ARBK,Customer1,474,44,29,129
ARBK,Customer3,331,36,27,131
ARBK,Customer2,315,285,9,132
ARBK,Customer3,335,5,59,135
ARBK,Customer4,317,108,11,136
ARBK,Customer2,440,380,40,140
ARBK,Customer1,538,263,40,141
ARBK,Customer4,571,404,40,142
ARBK,Customer1,519,467,40,143
ARBK,Customer2,462,456,40,144
ARBK,Customer2,469,445,1,146
ARBK,Customer3,353,71,16,147
ARBK,Customer4,359,267,19,148
ARBK,Customer1,359,87,12,149
ARBK,Customer0,297,170,3,150
ARBK,Customer3,507,432,3,151
ARBK,Customer1,450,212,23,155
ARBK,Customer4,337,371,17,158
ARBK,Customer1,495,303,17,159
ARBK,Customer2,569,320,19,161
ARBK,Customer2,342,391,56,163
ARBK,Customer0,425,58,21,166
ARBK,Customer1,422,422,13,168
ARBK,Customer3,358,263,9,169
ARBK,Customer0,360,464,14,171
ARBK,Customer1,361,235,21,174
ARBK,Customer4,381,472,39,176
ARBK,Customer3,356,325,41,181
ARBK,Customer0,350,276,34,185
ARBK,Customer1,495,252,34,186
ARBK,Customer3,291,380,57,187
ARBK,Customer4,332,279,43,191
ARBK,Customer1,489,341,43,192
ARBK,Customer1,296,240,4,194
ARBK,Customer2,347,355,23,197
ARBK,Customer4,380,462,56,199
ARBK,Customer3,299,245,28,200
ARBK,Customer2,427,440,34,202
ARBK,Customer1,335,232,15,205
ARBK,Customer4,391,91,50,207
ARBK,Customer2,300,282,52,208
ARBK,Customer0,312,129,33,209
ARBK,Customer2,290,82,43,212
ARBK,Customer2,512,457,43,213
ARBK,Customer3,342,383,41,219
ARBK,Customer0,388,424,29,222
ARBK,Customer4,473,432,29,223
ARBK,Customer1,316,395,10,224
ARBK,Customer0,301,226,41,226
ARBK,Customer3,430,382,22,228
ARBK,Customer3,398,179,2,230
ARBK,Customer3,525,403,55,232
ARBK,Customer3,352,413,33,235
ARBK,Customer0,480,258,33,236
ARBK,Customer0,499,252,33,237
ARBK,Customer3,318,63,53,239
ARBK,Customer2,326,128,56,242
ARBK,Customer1,477,14,12,246
ARBK,Customer1,557,320,12,247
ARBK,Customer0,452,192,46,250
ARBK,Customer4,331,325,37,251
ARBK,Customer4,555,365,7,253
