StockName,CustomerName,Price,NumStks,Time,OrderID
ARBK,Customer0,574,162,0,38007
ARBK,Customer3,573,440,0,38555
ARBK,Customer4,573,439,0,1455
ARBK,Customer0,571,490,0,32018
ARBK,Customer0,571,228,0,39660
ARBK,Customer1,571,98,0,28326
ARBK,Customer2,570,356,0,7421
ARBK,Customer2,568,467,0,46292
ARBK,Customer2,567,354,0,15454
ARBK,Customer2,567,107,0,719
ARBK,Customer2,566,372,0,51804
ARBK,Customer0,566,330,0,36618
ARBK,Customer1,566,222,0,6333
ARBK,Customer2,564,296,0,33832
ARBK,Customer0,563,388,0,44587
ARBK,Customer0,562,423,0,27536
ARBK,Customer0,562,342,0,17251
ARBK,Customer3,561,222,0,54587
ARBK,Customer1,560,262,0,29331
ARBK,Customer4,560,251,0,20843
ARBK,Customer0,558,268,0,25505
ARBK,Customer4,558,150,0,8144
ARBK,Customer3,557,443,0,8916
ARBK,Customer0,556,134,0,6085
ARBK,Customer2,555,398,0,54145
ARBK,Customer0,555,182,0,20968
ARBK,Customer2,554,282,0,17933
ARBK,Customer3,553,40,0,8915
ARBK,Customer3,552,229,0,54332
ARBK,Customer0,551,486,0,1861
ARBK,Customer0,549,284,0,9177
ARBK,Customer1,548,488,0,50949
ARBK,Customer2,548,295,0,21963
ARBK,Customer0,545,469,0,13460
ARBK,Customer3,544,442,0,41933
ARBK,Customer3,544,323,0,595
ARBK,Customer2,543,91,0,35411
ARBK,Customer2,542,255,0,16832
ARBK,Customer4,542,43,0,7281
ARBK,Customer1,539,417,0,13733
ARBK,Customer3,539,248,0,8998
ARBK,Customer3,538,361,0,29146
ARBK,Customer1,538,240,0,13729
ARBK,Customer3,537,470,0,22568
ARBK,Customer1,537,197,0,7340
ARBK,Customer3,536,411,0,21118
ARBK,Customer3,533,400,0,3434
ARBK,Customer4,533,374,0,42872
ARBK,Customer2,533,74,0,1823
ARBK,Customer1,531,99,0,13221
ARBK,Customer2,530,3,0,15363
ARBK,Customer1,529,493,0,27728
ARBK,Customer3,529,286,0,18974
ARBK,Customer4,528,216,0,24264
ARBK,Customer4,528,146,0,52848
ARBK,Customer3,528,103,0,11806
ARBK,Customer4,527,259,0,19671
ARBK,Customer0,527,50,0,15005
ARBK,Customer2,526,26,0,14043
ARBK,Customer2,525,266,0,42283
ARBK,Customer4,525,178,0,986
ARBK,Customer4,524,127,0,22456
ARBK,Customer3,523,280,0,2506
ARBK,Customer4,522,434,0,25390
ARBK,Customer1,522,423,0,6762
ARBK,Customer0,521,196,0,43915
ARBK,Customer1,520,269,0,15303
ARBK,Customer3,519,294,0,22226
ARBK,Customer0,518,434,0,53169
ARBK,Customer1,517,9,0,23142
ARBK,Customer2,516,122,0,5056
ARBK,Customer4,514,449,0,2056
ARBK,Customer0,514,391,0,1197
ARBK,Customer1,513,428,0,7131
ARBK,Customer4,510,338,0,27455
ARBK,Customer3,510,110,0,11346
ARBK,Customer1,505,407,0,6352
ARBK,Customer3,504,253,0,53764
ARBK,Customer1,503,487,0,8085
ARBK,Customer3,502,4,0,30197
ARBK,Customer4,501,242,0,2569
ARBK,Customer0,500,353,0,8925
ARBK,Customer3,499,482,0,33260
